run_id,experiment,mode,latency_ms,drop_rate,offline_rate,scenario_id,start_at,end_at
26,latency_response,fault_tolerant,500,0.05,0.02,alarm_01,18.0,23.0
26,latency_response,fault_tolerant,500,0.05,0.02,alarm_02,60.0,65.0
26,latency_response,fault_tolerant,500,0.05,0.02,alarm_03,102.0,107.0
26,latency_response,fault_tolerant,500,0.05,0.02,alarm_04,144.0,149.0
26,latency_response,fault_tolerant,500,0.05,0.02,alarm_05,186.0,191.0
26,latency_response,fault_tolerant,500,0.05,0.02,alarm_06,228.0,233.0
27,latency_response,fault_tolerant,500,0.05,0.02,alarm_01,18.0,23.0
27,latency_response,fault_tolerant,500,0.05,0.02,alarm_02,60.0,65.0
27,latency_response,fault_tolerant,500,0.05,0.02,alarm_03,102.0,107.0
27,latency_response,fault_tolerant,500,0.05,0.02,alarm_04,144.0,149.0
27,latency_response,fault_tolerant,500,0.05,0.02,alarm_05,186.0,191.0
27,latency_response,fault_tolerant,500,0.05,0.02,alarm_06,228.0,233.0
28,latency_response,fault_tolerant,500,0.05,0.02,alarm_01,18.0,23.0
28,latency_response,fault_tolerant,500,0.05,0.02,alarm_02,60.0,65.0
28,latency_response,fault_tolerant,500,0.05,0.02,alarm_03,102.0,107.0
28,latency_response,fault_tolerant,500,0.05,0.02,alarm_04,144.0,149.0
28,latency_response,fault_tolerant,500,0.05,0.02,alarm_05,186.0,191.0
28,latency_response,fault_tolerant,500,0.05,0.02,alarm_06,228.0,233.0
29,latency_response,fault_tolerant,500,0.05,0.02,alarm_01,18.0,23.0
29,latency_response,fault_tolerant,500,0.05,0.02,alarm_02,60.0,65.0
29,latency_response,fault_tolerant,500,0.05,0.02,alarm_03,102.0,107.0
29,latency_response,fault_tolerant,500,0.05,0.02,alarm_04,144.0,149.0
29,latency_response,fault_tolerant,500,0.05,0.02,alarm_05,186.0,191.0
29,latency_response,fault_tolerant,500,0.05,0.02,alarm_06,228.0,233.0
30,latency_response,fault_tolerant,500,0.05,0.02,alarm_01,18.0,23.0
30,latency_response,fault_tolerant,500,0.05,0.02,alarm_02,60.0,65.0
30,latency_response,fault_tolerant,500,0.05,0.02,alarm_03,102.0,107.0
30,latency_response,fault_tolerant,500,0.05,0.02,alarm_04,144.0,149.0
30,latency_response,fault_tolerant,500,0.05,0.02,alarm_05,186.0,191.0
30,latency_response,fault_tolerant,500,0.05,0.02,alarm_06,228.0,233.0
31,latency_response,fault_tolerant,500,0.05,0.02,alarm_01,18.0,23.0
31,latency_response,fault_tolerant,500,0.05,0.02,alarm_02,60.0,65.0
31,latency_response,fault_tolerant,500,0.05,0.02,alarm_03,102.0,107.0
31,latency_response,fault_tolerant,500,0.05,0.02,alarm_04,144.0,149.0
31,latency_response,fault_tolerant,500,0.05,0.02,alarm_05,186.0,191.0
31,latency_response,fault_tolerant,500,0.05,0.02,alarm_06,228.0,233.0
32,latency_response,fault_tolerant,500,0.05,0.02,alarm_01,18.0,23.0
32,latency_response,fault_tolerant,500,0.05,0.02,alarm_02,60.0,65.0
32,latency_response,fault_tolerant,500,0.05,0.02,alarm_03,102.0,107.0
32,latency_response,fault_tolerant,500,0.05,0.02,alarm_04,144.0,149.0
32,latency_response,fault_tolerant,500,0.05,0.02,alarm_05,186.0,191.0
32,latency_response,fault_tolerant,500,0.05,0.02,alarm_06,228.0,233.0
33,latency_response,fault_tolerant,800,0.05,0.02,alarm_01,18.0,23.0
33,latency_response,fault_tolerant,800,0.05,0.02,alarm_02,60.0,65.0
33,latency_response,fault_tolerant,800,0.05,0.02,alarm_03,102.0,107.0
33,latency_response,fault_tolerant,800,0.05,0.02,alarm_04,144.0,149.0
33,latency_response,fault_tolerant,800,0.05,0.02,alarm_05,186.0,191.0
33,latency_response,fault_tolerant,800,0.05,0.02,alarm_06,228.0,233.0
34,latency_response,fault_tolerant,800,0.05,0.02,alarm_01,18.0,23.0
34,latency_response,fault_tolerant,800,0.05,0.02,alarm_02,60.0,65.0
34,latency_response,fault_tolerant,800,0.05,0.02,alarm_03,102.0,107.0
34,latency_response,fault_tolerant,800,0.05,0.02,alarm_04,144.0,149.0
34,latency_response,fault_tolerant,800,0.05,0.02,alarm_05,186.0,191.0
34,latency_response,fault_tolerant,800,0.05,0.02,alarm_06,228.0,233.0
35,latency_response,fault_tolerant,800,0.05,0.02,alarm_01,18.0,23.0
35,latency_response,fault_tolerant,800,0.05,0.02,alarm_02,60.0,65.0
35,latency_response,fault_tolerant,800,0.05,0.02,alarm_03,102.0,107.0
35,latency_response,fault_tolerant,800,0.05,0.02,alarm_04,144.0,149.0
35,latency_response,fault_tolerant,800,0.05,0.02,alarm_05,186.0,191.0
35,latency_response,fault_tolerant,800,0.05,0.02,alarm_06,228.0,233.0
36,latency_response,fault_tolerant,800,0.05,0.02,alarm_01,18.0,23.0
36,latency_response,fault_tolerant,800,0.05,0.02,alarm_02,60.0,65.0
36,latency_response,fault_tolerant,800,0.05,0.02,alarm_03,102.0,107.0
36,latency_response,fault_tolerant,800,0.05,0.02,alarm_04,144.0,149.0
36,latency_response,fault_tolerant,800,0.05,0.02,alarm_05,186.0,191.0
36,latency_response,fault_tolerant,800,0.05,0.02,alarm_06,228.0,233.0
37,latency_response,fault_tolerant,800,0.05,0.02,alarm_01,18.0,23.0
37,latency_response,fault_tolerant,800,0.05,0.02,alarm_02,60.0,65.0
37,latency_response,fault_tolerant,800,0.05,0.02,alarm_03,102.0,107.0
37,latency_response,fault_tolerant,800,0.05,0.02,alarm_04,144.0,149.0
37,latency_response,fault_tolerant,800,0.05,0.02,alarm_05,186.0,191.0
37,latency_response,fault_tolerant,800,0.05,0.02,alarm_06,228.0,233.0
38,latency_response,fault_tolerant,800,0.05,0.02,alarm_01,18.0,23.0
38,latency_response,fault_tolerant,800,0.05,0.02,alarm_02,60.0,65.0
38,latency_response,fault_tolerant,800,0.05,0.02,alarm_03,102.0,107.0
38,latency_response,fault_tolerant,800,0.05,0.02,alarm_04,144.0,149.0
38,latency_response,fault_tolerant,800,0.05,0.02,alarm_05,186.0,191.0
38,latency_response,fault_tolerant,800,0.05,0.02,alarm_06,228.0,233.0
39,latency_response,fault_tolerant,800,0.05,0.02,alarm_01,18.0,23.0
39,latency_response,fault_tolerant,800,0.05,0.02,alarm_02,60.0,65.0
39,latency_response,fault_tolerant,800,0.05,0.02,alarm_03,102.0,107.0
39,latency_response,fault_tolerant,800,0.05,0.02,alarm_04,144.0,149.0
39,latency_response,fault_tolerant,800,0.05,0.02,alarm_05,186.0,191.0
39,latency_response,fault_tolerant,800,0.05,0.02,alarm_06,228.0,233.0
40,latency_response,fault_tolerant,800,0.05,0.02,alarm_01,18.0,23.0
40,latency_response,fault_tolerant,800,0.05,0.02,alarm_02,60.0,65.0
40,latency_response,fault_tolerant,800,0.05,0.02,alarm_03,102.0,107.0
40,latency_response,fault_tolerant,800,0.05,0.02,alarm_04,144.0,149.0
40,latency_response,fault_tolerant,800,0.05,0.02,alarm_05,186.0,191.0
